status file for recon-all
Thu Feb  1 01:39:27 UTC 2018
#@# MotionCor Thu Feb  1 01:39:45 UTC 2018
#@# Talairach Thu Feb  1 01:40:22 UTC 2018
#@# Talairach Failure Detection Thu Feb  1 01:45:31 UTC 2018
#@# Nu Intensity Correction Thu Feb  1 01:45:31 UTC 2018
#@# Intensity Normalization Thu Feb  1 01:51:51 UTC 2018
#@# Skull Stripping Thu Feb  1 01:58:01 UTC 2018
#@# EM Registration Thu Feb  1 03:05:09 UTC 2018
#@# CA Normalize Thu Feb  1 03:44:20 UTC 2018
#@# CA Reg Thu Feb  1 03:48:05 UTC 2018
#@# SubCort Seg Thu Feb  1 11:31:14 UTC 2018
#@# Merge ASeg Thu Feb  1 15:22:06 UTC 2018
#@# Intensity Normalization2 Thu Feb  1 15:22:06 UTC 2018
#@# Mask BFS Thu Feb  1 15:34:32 UTC 2018
#@# WM Segmentation Thu Feb  1 15:34:38 UTC 2018
#@# Fill Thu Feb  1 15:44:39 UTC 2018
#@# Tessellate lh Thu Feb  1 15:47:15 UTC 2018
#@# Tessellate rh Thu Feb  1 15:47:37 UTC 2018
#@# Smooth1 lh Thu Feb  1 15:47:59 UTC 2018
#@# Smooth1 rh Thu Feb  1 15:48:16 UTC 2018
#@# Inflation1 lh Thu Feb  1 15:48:30 UTC 2018
#@# Inflation1 rh Thu Feb  1 15:50:14 UTC 2018
#@# QSphere lh Thu Feb  1 15:51:54 UTC 2018
#@# QSphere rh Thu Feb  1 16:01:15 UTC 2018
#@# Fix Topology Copy lh Thu Feb  1 16:10:03 UTC 2018
#@# Fix Topology Copy rh Thu Feb  1 16:10:03 UTC 2018
#@# Fix Topology lh Thu Feb  1 16:10:04 UTC 2018
#@# Fix Topology rh Thu Feb  1 17:39:55 UTC 2018
#@# Make White Surf lh Thu Feb  1 19:08:28 UTC 2018
#@# Make White Surf rh Thu Feb  1 19:19:44 UTC 2018
#@# Smooth2 lh Thu Feb  1 19:30:45 UTC 2018
#@# Smooth2 rh Thu Feb  1 19:30:58 UTC 2018
#@# Inflation2 lh Thu Feb  1 19:31:10 UTC 2018
#@# Inflation2 rh Thu Feb  1 19:32:31 UTC 2018
#@# Curv .H and .K lh Thu Feb  1 19:33:49 UTC 2018
#@# Curv .H and .K rh Thu Feb  1 19:37:02 UTC 2018
#@# Curvature Stats lh Thu Feb  1 19:40:07 UTC 2018
#@# Curvature Stats rh Thu Feb  1 19:40:16 UTC 2018
#@# Sphere lh Thu Feb  1 19:40:24 UTC 2018
#@# Sphere rh Thu Feb  1 21:18:32 UTC 2018
#@# Surf Reg lh Thu Feb  1 23:23:53 UTC 2018
#@# Surf Reg rh Fri Feb  2 01:36:06 UTC 2018
#@# Jacobian white lh Fri Feb  2 03:42:51 UTC 2018
#@# Jacobian white rh Fri Feb  2 03:42:56 UTC 2018
#@# AvgCurv lh Fri Feb  2 03:43:00 UTC 2018
#@# AvgCurv rh Fri Feb  2 03:43:04 UTC 2018
#@# Cortical Parc lh Fri Feb  2 03:43:08 UTC 2018
#@# Cortical Parc rh Fri Feb  2 03:43:46 UTC 2018
#@# Make Pial Surf lh Fri Feb  2 03:44:22 UTC 2018
#@# Make Pial Surf rh Fri Feb  2 04:19:33 UTC 2018
#@# Surf Volume lh Fri Feb  2 04:53:19 UTC 2018
#@# Surf Volume rh Fri Feb  2 04:53:27 UTC 2018
#@# Cortical ribbon mask Fri Feb  2 04:53:34 UTC 2018
#@# Parcellation Stats lh Fri Feb  2 05:17:56 UTC 2018
#@# Parcellation Stats rh Fri Feb  2 05:21:03 UTC 2018
#@# Cortical Parc 2 lh Fri Feb  2 05:24:03 UTC 2018
#@# Cortical Parc 2 rh Fri Feb  2 05:24:43 UTC 2018
#@# Parcellation Stats 2 lh Fri Feb  2 05:25:27 UTC 2018
#@# Parcellation Stats 2 rh Fri Feb  2 05:27:01 UTC 2018
#@# Cortical Parc 3 lh Fri Feb  2 05:28:38 UTC 2018
#@# Cortical Parc 3 rh Fri Feb  2 05:29:10 UTC 2018
#@# Parcellation Stats 3 lh Fri Feb  2 05:29:46 UTC 2018
#@# Parcellation Stats 3 rh Fri Feb  2 05:31:19 UTC 2018
#@# WM/GM Contrast lh Fri Feb  2 05:32:48 UTC 2018
#@# WM/GM Contrast rh Fri Feb  2 05:33:09 UTC 2018
#@# Relabel Hypointensities Fri Feb  2 05:33:25 UTC 2018
#@# AParc-to-ASeg aparc Fri Feb  2 05:34:20 UTC 2018
#@# AParc-to-ASeg a2009s Fri Feb  2 05:44:37 UTC 2018
#@# AParc-to-ASeg DKTatlas Fri Feb  2 05:54:56 UTC 2018
#@# APas-to-ASeg Fri Feb  2 06:05:25 UTC 2018
#@# ASeg Stats Fri Feb  2 06:05:41 UTC 2018
#@# WMParc Fri Feb  2 06:15:08 UTC 2018
#@# BA_exvivo Labels lh Fri Feb  2 06:41:00 UTC 2018
#@# BA_exvivo Labels rh Fri Feb  2 06:52:54 UTC 2018
recon-all -s 3222 finished without error at Fri Feb  2 07:04:14 UTC 2018
